id,scientific_name,common_name,image_url,taxa_url,attribution
125390,Amanita bisporigera,Eastern North American Destroying Angel,https://static.inaturalist.org/photos/452770253/medium.jpeg,https://www.inaturalist.org/taxa/125390,"(c) Darling Data, all rights reserved"
125390,Amanita bisporigera,Eastern North American Destroying Angel,https://inaturalist-open-data.s3.amazonaws.com/photos/451598959/medium.jpeg,https://www.inaturalist.org/taxa/125390,"(c) eurora, some rights reserved (CC BY-NC)"
125390,Amanita bisporigera,Eastern North American Destroying Angel,https://static.inaturalist.org/photos/455292961/medium.jpeg,https://www.inaturalist.org/taxa/125390,"(c) Nick Pappas, all rights reserved"
58692,Amanita brunnescens,Brown American Star-footed Amanita,https://inaturalist-open-data.s3.amazonaws.com/photos/452717226/medium.jpeg,https://www.inaturalist.org/taxa/58692,"(c) Ellen, some rights reserved (CC BY-NC)"
58692,Amanita brunnescens,Brown American Star-footed Amanita,https://inaturalist-open-data.s3.amazonaws.com/photos/451936842/medium.jpeg,https://www.inaturalist.org/taxa/58692,"(c) devnet, some rights reserved (CC BY-NC)"
58692,Amanita brunnescens,Brown American Star-footed Amanita,https://inaturalist-open-data.s3.amazonaws.com/photos/445758702/medium.jpeg,https://www.inaturalist.org/taxa/58692,"(c) zafty, some rights reserved (CC BY-NC)"
125389,Amanita flavoconia inquinata,Tarnished Yellow Dust Amanita,https://static.inaturalist.org/photos/465383284/medium.jpg,https://www.inaturalist.org/taxa/125389,"(c) Paola Hincapié G, all rights reserved"
125389,Amanita flavoconia,Yellow Patches,https://inaturalist-open-data.s3.amazonaws.com/photos/456492633/medium.jpg,https://www.inaturalist.org/taxa/125389,"(c) CORDYTATY, some rights reserved (CC BY-NC)"
125389,Amanita flavoconia,Yellow Patches,https://inaturalist-open-data.s3.amazonaws.com/photos/455760874/medium.jpeg,https://www.inaturalist.org/taxa/125389,"(c) Sergio Angulo, some rights reserved (CC BY-ND)"
63027,Amanita fulva,Tawny Grisette,https://inaturalist-open-data.s3.amazonaws.com/photos/461008556/medium.jpg,https://www.inaturalist.org/taxa/63027,"(c) Laura Clark, some rights reserved (CC BY)"
63027,Amanita fulva,Tawny Grisette,https://inaturalist-open-data.s3.amazonaws.com/photos/457689454/medium.jpg,https://www.inaturalist.org/taxa/63027,"(c) ilookaftertherain, some rights reserved (CC BY-NC)"
63027,Amanita fulva,Tawny Grisette,https://inaturalist-open-data.s3.amazonaws.com/photos/454874599/medium.jpeg,https://www.inaturalist.org/taxa/63027,"(c) Yago Carreño, some rights reserved (CC BY-NC-ND)"
773499,Amanita rhacopus,Shaggy Legged Ringless Amanita,https://static.inaturalist.org/photos/452092740/medium.jpeg,https://www.inaturalist.org/taxa/773499,"(c) Grace Gaines, all rights reserved"
773499,Amanita rhacopus,Shaggy Legged Ringless Amanita,https://inaturalist-open-data.s3.amazonaws.com/photos/449694770/medium.jpeg,https://www.inaturalist.org/taxa/773499,"(c) awearp, some rights reserved (CC BY-NC)"
773499,Amanita rhacopus,Shaggy Legged Ringless Amanita,https://static.inaturalist.org/photos/445759332/medium.jpeg,https://www.inaturalist.org/taxa/773499,"(c) sammyisafuzzydog, all rights reserved"
67661,Amanita rubescens,blusher,https://inaturalist-open-data.s3.amazonaws.com/photos/468874812/medium.jpeg,https://www.inaturalist.org/taxa/67661,"(c) Mateus Godinho, some rights reserved (CC BY-NC)"
67661,Amanita rubescens,blusher,https://inaturalist-open-data.s3.amazonaws.com/photos/466936757/medium.jpg,https://www.inaturalist.org/taxa/67661,"(c) Associação Vita Nativa, some rights reserved (CC BY-NC)"
67661,Amanita rubescens,blusher,https://static.inaturalist.org/photos/466363735/medium.jpg,https://www.inaturalist.org/taxa/67661,"(c) Joshua yañez, all rights reserved"
334704,Artomyces pyxidatus,crown-tipped coral fungus,https://inaturalist-open-data.s3.amazonaws.com/photos/466709838/medium.jpeg,https://www.inaturalist.org/taxa/334704,"(c) mihail_lukyanchik, some rights reserved (CC BY-NC)"
334704,Artomyces pyxidatus,crown-tipped coral fungus,https://inaturalist-open-data.s3.amazonaws.com/photos/466557471/medium.jpeg,https://www.inaturalist.org/taxa/334704,"(c) mihail_lukyanchik, some rights reserved (CC BY-NC)"
334704,Artomyces pyxidatus,crown-tipped coral fungus,https://static.inaturalist.org/photos/463993322/medium.jpeg,https://www.inaturalist.org/taxa/334704,"(c) Jordan Carey, all rights reserved"
122329,Chlorociboria aeruginascens,Green Wood Cup,https://static.inaturalist.org/photos/469086494/medium.jpeg,https://www.inaturalist.org/taxa/122329,"(c) Cindy MC wildlydistracted, all rights reserved"
122329,Chlorociboria aeruginascens,Green Wood Cup,https://static.inaturalist.org/photos/468908883/medium.jpeg,https://www.inaturalist.org/taxa/122329,"(c) Linus, all rights reserved"
122329,Chlorociboria aeruginascens,Green Wood Cup,https://inaturalist-open-data.s3.amazonaws.com/photos/468797847/medium.jpg,https://www.inaturalist.org/taxa/122329,"(c) Michel Langeveld, some rights reserved (CC BY)"
1275362,Collybiopsis subnuda,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/458520393/medium.jpg,https://www.inaturalist.org/taxa/1275362,"(c) Mave, some rights reserved (CC BY-NC)"
1275362,Collybiopsis subnuda,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/459901101/medium.jpeg,https://www.inaturalist.org/taxa/1275362,"(c) Liliana Ramírez-Freire, some rights reserved (CC BY)"
1275362,Collybiopsis subnuda,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/444627965/medium.png,https://www.inaturalist.org/taxa/1275362,"(c) renatacl28, some rights reserved (CC BY-NC)"
118034,Coltricia perennis,Brown Funnel Polypore,https://static.inaturalist.org/photos/467539787/medium.jpeg,https://www.inaturalist.org/taxa/118034,"(c) Hana Long, all rights reserved"
118034,Coltricia perennis,Brown Funnel Polypore,https://inaturalist-open-data.s3.amazonaws.com/photos/466211542/medium.jpg,https://www.inaturalist.org/taxa/118034,"(c) Наталья Бондарева, some rights reserved (CC BY-NC)"
118034,Coltricia perennis,Brown Funnel Polypore,https://inaturalist-open-data.s3.amazonaws.com/photos/460748472/medium.jpeg,https://www.inaturalist.org/taxa/118034,"(c) R. Scott LaChance, some rights reserved (CC BY-NC)"
125363,Cortinarius corrugatus,wrinkled cortinarius,https://static.inaturalist.org/photos/440169669/medium.jpeg,https://www.inaturalist.org/taxa/125363,"(c) Ed Lickey, all rights reserved"
125363,Cortinarius corrugatus,wrinkled cortinarius,https://inaturalist-open-data.s3.amazonaws.com/photos/438235363/medium.jpeg,https://www.inaturalist.org/taxa/125363,"(c) lisebsb, some rights reserved (CC BY)"
125363,Cortinarius corrugatus,wrinkled cortinarius,https://inaturalist-open-data.s3.amazonaws.com/photos/430180702/medium.jpeg,https://www.inaturalist.org/taxa/125363,"(c) Dawn Hughes, some rights reserved (CC BY)"
782233,Craterellus ignicolor,flame trumpet,https://inaturalist-open-data.s3.amazonaws.com/photos/442276976/medium.jpeg,https://www.inaturalist.org/taxa/782233,"(c) ethancrenson, some rights reserved (CC BY-NC)"
782233,Craterellus ignicolor,flame trumpet,https://inaturalist-open-data.s3.amazonaws.com/photos/439127521/medium.jpeg,https://www.inaturalist.org/taxa/782233,"(c) coreyjames, some rights reserved (CC BY-NC)"
782233,Craterellus ignicolor,flame trumpet,https://static.inaturalist.org/photos/437862864/medium.jpeg,https://www.inaturalist.org/taxa/782233,"(c) jtuttle, all rights reserved"
350515,Crepidotus calolepis,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/467944079/medium.jpg,https://www.inaturalist.org/taxa/350515,"(c) Evan Sedlock, some rights reserved (CC BY-NC)"
350515,Crepidotus calolepis,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/466979080/medium.jpeg,https://www.inaturalist.org/taxa/350515,"(c) maricel patino, some rights reserved (CC BY-NC)"
350515,Crepidotus calolepis,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/466612822/medium.jpeg,https://www.inaturalist.org/taxa/350515,"(c) Nelson Conceição, some rights reserved (CC BY-NC)"
379777,Cyptotrama chrysopepla,golden coincap,https://inaturalist-open-data.s3.amazonaws.com/photos/451189417/medium.jpeg,https://www.inaturalist.org/taxa/379777,"(c) Fluff Berger, some rights reserved (CC BY-SA)"
379777,Cyptotrama chrysopepla,golden coincap,https://inaturalist-open-data.s3.amazonaws.com/photos/447424944/medium.jpg,https://www.inaturalist.org/taxa/379777,"(c) José Alfredo Carrasco Amador, some rights reserved (CC BY-NC)"
379777,Cyptotrama chrysopepla,golden coincap,https://inaturalist-open-data.s3.amazonaws.com/photos/444829940/medium.jpeg,https://www.inaturalist.org/taxa/379777,"(c) emmags12, some rights reserved (CC BY-NC)"
118028,Dacrymyces chrysospermus,Orange Jelly Spot,https://inaturalist-open-data.s3.amazonaws.com/photos/469419204/medium.jpg,https://www.inaturalist.org/taxa/118028,"(c) sophiaj1666, some rights reserved (CC BY-NC)"
118028,Dacrymyces chrysospermus,Orange Jelly Spot,https://static.inaturalist.org/photos/469175940/medium.jpeg,https://www.inaturalist.org/taxa/118028,"(c) Lauren Bryant-Davis, all rights reserved"
118028,Dacrymyces chrysospermus,Orange Jelly Spot,https://inaturalist-open-data.s3.amazonaws.com/photos/469233123/medium.jpg,https://www.inaturalist.org/taxa/118028,"(c) Katherine McDermott, some rights reserved (CC BY-NC)"
881500,Diatrype decorticata,N/A,https://static.inaturalist.org/photos/469508307/medium.jpeg,https://www.inaturalist.org/taxa/881500,"(c) Henning Karger, all rights reserved"
881500,Diatrype decorticata,N/A,https://static.inaturalist.org/photos/469050636/medium.jpeg,https://www.inaturalist.org/taxa/881500,"(c) Henning Karger, all rights reserved"
